ID,y,x
0011000000000000389f,45.34941582664015,-121.70710240372806
00110000000000003a06,45.407855233658054,-121.73223528630145
00110000000000003a22,45.40476333733454,-121.71534781103715
00110000000000003a3c,45.39145178474311,-121.67245851514453
00110000000000003a6a,45.39213260703205,-121.70640121400422
00110000000000003a7a,45.38088455786801,-121.7188700871302
00110000000000003ab3,45.3758035949667,-121.65273286512665
00110000000000003ac6,45.402984604302596,-121.70009045408811
00110000000000003acd,45.388598427667056,-121.68524476853105
00110000000000003b57,45.38502659658075,-121.64020688856046
00110000000000003b93,45.36112249368479,-121.71725727794188
00110000000000003ba7,45.362874711122736,-121.66824106116029
00110000000000003bb8,45.35601902092988,-121.67279524511044
00110000000000003c63,45.3799396581536,-121.66221319960475
00110000000000003c7f,45.38776191833257,-121.69506857970754
00110000000000003cbb,45.38587670299328,-121.71010269219475
00110000000000003cbf,45.38536796934938,-121.70170711840021
00110000000000003d42,45.40905069548778,-121.71435485414216
00110000000000003d52,45.40091159043727,-121.71776301176067
00110000000000003d68,45.380333838223535,-121.73832614971177
00110000000000003dac,45.380971076045775,-121.68055891083618
00110000000000003de0,45.391397212551986,-121.7178538624706
00110000000000003df2,45.40599953085439,-121.70808752976139
00110000000000003e19,45.3728371084918,-121.69973050425337
00110000000000003e91,45.3725381929889,-121.65780965602292
00110000000000003eb2,45.33872320507797,-121.68050082102246
00110000000000003f5a,45.371410326647016,-121.71788851933329
00110000000000003f61,45.3457560177915,-121.67930357651151
00110000000000003fcf,45.343287881519906,-121.67533343566272
00110000000000004066,45.378855682969395,-121.705344973553
001100000000000040b4,45.35246827438121,-121.69709892904555
001100000000000040cc,45.35550015599951,-121.68782664139016
001100000000000040e4,45.39314684670292,-121.65127338312813
001100000000000041c4,45.34483652593976,-121.67187627874748
001100000000000038d0,44.173859822788074,-121.76158069442266
001100000000000038d8,44.0724103876736,-121.69527817797886
001100000000000038f6,44.09770927309949,-121.78813823969337
0011000000000000392b,44.117441348519364,-121.765883875476
0011000000000000394d,44.13599810502657,-121.77870875009916
0011000000000000394e,44.136096572200685,-121.7666980196523
0011000000000000396a,44.09497331954284,-121.77732104939805
001100000000000039c9,44.10185667851763,-121.77132768311367
001100000000000039cc,44.111632058107375,-121.76695516070559
00110000000000003a2f,44.164929471318395,-121.7849787310116
00110000000000003a36,44.08524914650621,-121.69319504785183
00110000000000003ae1,44.13313152697659,-121.77011307744434
00110000000000003b88,44.14360383036359,-121.77149781841788
00110000000000003b98,44.19254920994147,-121.7715518972984
00110000000000003c01,44.1383275696929,-121.78635186009461
00110000000000003cb2,44.11019065331699,-121.78045238669252
00110000000000003d10,44.07339646960507,-121.67035404370915
00110000000000003d37,44.09507875856448,-121.76690738518414
00110000000000003e41,44.15988227858162,-121.79023653512998
00110000000000003ec8,44.107468598894734,-121.78366277446484
00110000000000003f37,44.15419879929861,-121.7659691801903
00110000000000003f41,44.15508648251807,-121.79204511925042
00110000000000003fb6,44.08836517261768,-121.70797629128303
0011000000000000400d,44.1307208677533,-121.7773244967477
0011000000000000407b,44.08053620761705,-121.70912260422921
0011000000000000409a,44.100220147260536,-121.74994248758111
001100000000000040c6,44.125473322749784,-121.78328351617307
001100000000000040e0,44.08760455278681,-121.68149626601857
00110000000000004129,44.1636480850959,-121.76380835428469
0011000000000000412c,44.07946209500847,-121.69794038111641
00110000000000004142,44.08842497675817,-121.75738189552027
00110000000000004164,44.12551125944354,-121.7680038784336
00110000000000004181,44.17497185313546,-121.77480907640442
00110000000000004189,44.10667456103681,-121.75906886587595
0011000000000000419f,44.15211216914883,-121.77476268139948
001100000000000041c2,44.11638139969691,-121.7730847730283
00110000000000003a53,46.52022185150232,-121.45724143205177
00110000000000003d38,46.53270147435432,-121.44817442804707
00110000000000003d92,46.51919760403416,-121.43990113042993
00110000000000003faa,46.51761167262571,-121.44481421901573
00110000000000004061,46.5003774889016,-121.4327237031163
001100000000000040d3,46.509973153337114,-121.44614190411261
0011000000000000419c,46.51686368954723,-121.46320943657885
001100000000000038cc,46.214153371567114,-121.46877586246704
001100000000000039f9,46.17127159915195,-121.48744626108848
00110000000000003a14,46.1824448504191,-121.48106302938255
00110000000000003a45,46.48566569009796,-121.40084572481018
00110000000000003b23,46.18438622452456,-121.49716239858431
00110000000000003b4d,46.18236120203049,-121.51744453063377
00110000000000003b5e,46.189417473798784,-121.50732483260171
00110000000000003b83,46.196427795335346,-121.48154418129388
00110000000000003bd9,46.19199299694929,-121.47218047520504
00110000000000003bdb,46.19896551211595,-121.5172294842416
00110000000000003c3c,46.18104765728928,-121.515265970341
00110000000000003c89,46.18148699647397,-121.51744405828556
00110000000000003d66,46.19714347539774,-121.45739103738181
00110000000000003e46,46.230468833240245,-121.49420851418893
00110000000000003ea5,46.16426468291276,-121.47427838706886
00110000000000003ee5,46.49540709487605,-121.42087826120968
00110000000000003fa6,46.20436245557584,-121.467567218
0011000000000000402a,46.178563185728336,-121.47039839115318
0011000000000000404a,46.19242552855313,-121.5174681455438
00110000000000004053,46.20913207692937,-121.53148255566425
0011000000000000409b,46.2433182294852,-121.52055171816095
001100000000000040a5,46.2180158829004,-121.48258786449354
00110000000000004119,46.207265582014514,-121.5478260342689
00110000000000004154,46.49364326540284,-121.40630561821568
00110000000000004170,46.21799640521105,-121.51208031379551
00110000000000004175,46.18459015850757,-121.51826338894169
001100000000000038ba,46.85325223850204,-121.68418559537554
001100000000000038fb,46.81073436670889,-121.67980433383677
00110000000000003936,46.86448538282498,-121.78978854413315
00110000000000003965,46.81499472495486,-121.72472863858656
001100000000000039d9,46.82004922786438,-121.76542750178453
